route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
14-KAM,5272,2329548:13417239:13428382,Batchelor Hgts To Saddleback,14016,13428382,1
6-KAM,4528,2333578:13417241:13428396,Downtown Loop,13897,13428396,1
16-KAM,5272,2329626:13417243:13428473,Juniper Ridge,13994,13428473,1
7-KAM,4528,2333942:13417264:13428323,Downtown Via Battle,13949,13428323,0
1-KAM,5282,2334151:13417274:13428463,Brocklehurst Via Tranquille,14038,13428463,1
7-KAM,5282,2334557:13417282:13427938,Downtown Via Bestwick,13974,13427938,0
5-KAM,4528,2333353:13417291:13428399,TRU Via Versatile,14031,13428399,0
17-KAM,4528,2333383:13417294:13428200,Wildlife Park To Dallas/Barnhartvale,13998,13428200,1
3-KAM,4528,2333883:13417295:13428191,Westsyde To Harrington,14015,13428191,1
9-KAM,5272,2329647:13417311:13428471,Gleneagles Via TRU,13803,13428471,1
5-KAM,5282,2334300:13417323:13427930,TRU Via Hillside,13985,13427930,0
5-KAM,5282,2334276:13417326:13428578,Pineview Via Hillside,13797,13428578,1
3-KAM,4528,2333811:13417331:13427982,Westsyde To Downtown,13860,13427982,0
7-KAM,5282,2334622:13417342:13428128,Aberdeen Via Bestwick,15736,13428128,1
7-KAM,4528,2333719:13417344:13428414,Aberdeen Via Battle,17129,13428414,1
3-KAM,5272,2329463:13417348:13428476,Westsyde To Downtown,13860,13428476,0
7-KAM,4528,2333782:13417351:13427996,Downtown Via Bestwick,13974,13427996,0
17-KAM,5282,2334447:13417354:13427904,Wildlife Park To Dallas/Barnhartvale,13998,13427904,1
1-KAM,5272,2329462:13417357:13428382,Downtown Via Tranquille,18441,13428382,0
4-KAM,5282,2334511:13417360:13428508,TRU Via Notre Dame,24978,13428508,0
7-KAM,4528,2333932:13417362:13427996,Downtown Via Bestwick,13974,13427996,0
2-KAM,5282,2334616:13417364:13428463,Downtown Via Parkcrest,13832,13428463,0
